"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Verlander, Justin","434378","94.1",,,"88.5","85.9","79.2",,,,
"Price, David","456034","93.6","93.4","88.6",,"85.1","79.5",,,,
"Scherzer, Max","453286","95",,"90","86.8","85.8","78.4",,,,
"Bumgarner, Madison","518516","91.4","91.8","87.4","86.6","83.9","75.1",,,,
"Archer, Chris","502042","95",,,"88.8","87.4",,,,,
"Porcello, Rick","519144","92.2","90.1",,"85.5","81.4","74.2",,,,
"Kennedy, Ian","453178","92.7","93.3",,"86.5","84.5","77.8",,,,
"Sale, Chris","519242",,"93.7",,"79.1","86.8",,,,,
"Roark, Tanner","543699","92.7","92.7",,"86","84.4","77.8",,,,
"Odorizzi, Jake","543606","91.9","92.5","87.1","83",,"71.8","85.3",,,
"Cueto, Johnny","456501","92.6","92","88","84.2","83.3","73.7",,,,
"Moore, Matt","519043","93.4","93.2","90.8",,"84.9","81.9",,,,
"Quintana, Jose","500779","92.6","92.6",,,"86.6","78.1",,,,
"Hamels, Cole","430935","92.6","93.2","89.2",,"84.7","79.8",,,,
"Volquez, Edinson","450172","94","93.8",,,"84","80.5",,,,
"Kluber, Corey","446372","92.9","93.1",,"89.4","85.8","83.9",,,,
"Santiago, Héctor","502327",,"91.9","85.8","79.2","83.4","73.8",,,,
"Wainwright, Adam","425794","90.8","91.1","85.9",,"83.3","74.4",,,,
"Samardzija, Jeff","502188","94.7","95","92.8","86.8","89.5","80.8","86.1",,,
"Ray, Robbie","592662","94.9","94.5",,"84.8","87.2",,,,,
"Lester, Jon","452657","92.7","91.6","89",,"85.4","75",,,,
"McHugh, Collin","543521","90.7","91","87.3",,"84.1","72.9",,,,
"Nolasco, Ricky","445060","91","90.9",,"81.7",,"73.6","80",,,
"Shields, James","448306","91.1","90.9","86.8",,"84.3","77.6",,,,
"Arrieta, Jake","453562","94.2","94.5",,"89.8","89.3","81.2",,,,
"Gausman, Kevin","592332","95.4","94.8",,"80.3","85",,"85.1",,,
"Gonzalez, Gio","461829","91.6","91.2",,,"84.4","77.7",,,,
"Stroman, Marcus","573186","93.5","92.9","89.2","86.2","85.2","80",,,,"83.4"
"Bauer, Trevor","545333","94","93.7","89.5",,"87","77.5",,,,
"Pérez, Martín","527048","93.6","93.1",,"85.6","84.9","80.3",,,,
"Koehler, Tom","543408","92.4","92.8",,"86.1","85.2","79.2",,,,
"Ventura, Yordano","570649","96.9","97","92",,"86.7","83.6",,,,
"Bettis, Chad","518452","92.3","91.6","87.2","86.2","86.6","75.6",,,,
"Straily, Dan","573185","89.8","90",,"83.6","82.9","73.2",,,,
"Happ, J.A.","457918","92.4","91.5",,"85.6","84.4","79",,,,
"Martinez, Carlos","593372","97.2","95.7",,,"87.6","85.4",,,,
"Eickhoff, Jerad","595191","91.6","91.5",,"82.5","84.6","75.5",,,,
"Pineda, Michael","501381","94.6","95.3","94.4","86.1","89.1",,,,,
"Fister, Doug","450729","87.5","87.5","83.3",,"79.5","70.9",,,,
"Nelson, Jimmy","519076","93.6","93.8",,"87.5","86.4","83.3",,,,
"Iwakuma, Hisashi","547874","88.9","88.1","86.1","81.8",,"71.5","83.7",,,
"Teheran, Julio","527054","91.7","90.3",,"81.6","82.9","72.1",,,,
"Tanaka, Masahiro","547888","92.6","91","89.4","84.5",,"76.1","87.2",,,
"Tillman, Chris","501957","92.3",,"91.8","86.2","84.3","75.8",,,,
"Santana, Ervin","429722","93.4","91.2",,"84.1","85.6",,,,,
"Syndergaard, Noah","592789","98.7","98.5",,"91.5","90.3","83",,,,
"Hellickson, Jeremy","476451","90.7","90.6","86.3","86.1","81.1","77.2",,,,
"Sanchez, Aaron","592717","95.2","95.4",,,"88.8","78.6",,,,
"Fernández, José","605228","95.9","94.2",,,"88.8","84.3",,,,
"Sabathia, CC","282332","89","89.6",,"80.4","82.5",,,,,
"Maeda, Kenta","628317","90.7","90.2",,"82","83.1","73",,,,
"Smyly, Drew","592767","90.8",,"85.6",,"80.3","76.2",,,,
"Finnegan, Brandon","605232","92.3","92.3",,"84","85.5",,,,,
"Hendricks, Kyle","543294","90.2","88.1","88.5",,"80.7","76",,,,
"Colon, Bartolo","112526","90.4","87.6",,"82.5","81.4",,,,,
"Estrada, Marco","462136","88.5",,"87.7",,"77.5","76.6",,,,
"Lackey, John","407793","92.4","92.2","84",,"84.9","78.9",,,,
"Pomeranz, Drew","519141","91.8",,"86.3",,"87","79.7",,,,
"Graveman, Kendall","608665","91.7","93.3","88.3","80.2","85.6",,,,,
"Weaver, Jered","450308","83.8","82.8",,"77","74.9","69.4",,,,
"Liriano, Francisco","434538","93.1","93.4",,"85.9","85.9","77.1",,,,
"Rodón, Carlos","607074","94.2","93.8",,"87.2","84.1",,,,,
"Gray, Jon","592351","95.8",,,"89.1","85.9","78.3",,,,
"Fiers, Mike","571666","90",,"86.9","82","83.1","74.4",,,,
"Miley, Wade","489119","90.9","90.9",,"84.8","83.1","77.5",,,,
"Duffy, Danny","518633","95.5","95.3",,"96.5","85.8","84.1",,,,
"Dickey, R.A.","285079","82.9",,,,,,,"76.6",,
"Keuchel, Dallas","572971","88.8","89.1","85.8","78.5","80",,,,,
"Leake, Mike","502190","90.1","91.2","89.8","81.5","85.4","79.1",,,,
"Anderson, Chase","502624","91.6","91.5","88.4",,"82.2","77.1",,,,
"Hammel, Jason","434628","92.6","92.8",,"85.7","85.4","77.5",,,,
"Tomlin, Josh","458708","88.4","88.4","85.9",,"83.9","75.6",,,,
"Davies, Zach","605200",,"89.9","86",,"79.1","72.8",,,,
"Sánchez, Aníbal","434671","91.7","91.8","91.2","85.3","71.2","78.2","84.8",,,
"García, Jaime","448802","91.1","91","91.4","82.5","82.8","76.1",,,,
"Chatwood, Tyler","543022","92.7","92.6","87.3",,"85.1","77.1",,,,
"Bradley, Archie","605151","93",,,,"86.4","80.5",,,,
"Corbin, Patrick","571578","92.2","92.4",,"81","85.3",,,,,
"Wright, Steven","453214","83.9",,,,,"67.7",,"74.8",,
"Greinke, Zack","425844","91.9","91.4",,"85.9","88.1","74.9",,,,
"Jiménez, Ubaldo","434622","90.7","90.2","90.2","82.8",,"75.3","84",,,
"Fulmer, Michael","605242","95.6","95.1","88.5","86.6","86.7",,,,,
"Shoemaker, Matt","533167","92.2","91.7",,"82.8","84.9","75.4",,,,
"Gibson, Kyle","502043","91.8","91.3",,"84.8","83.1","80.9",,,,
"Hernández, Félix","433587","91.1","90.8",,"85.1","87.6","79.8",,,,
"Wisler, Matt","605538","93.4","93.4",,"82.6","87.6","77.4",,,,
"Kazmir, Scott","431148","91.7","92","87.5","81","77.2","77",,,,
"Strasburg, Stephen","544931","95.6","95.6",,"89.8","89.3","82",,,,
"Chacín, Jhoulys","468504","91.4","91.1","87.8","83","84.4","79.1",,,,
"Salazar, Danny","517593","95.4","95",,"85.1","86.4","80.3",,,,
"Cashner, Andrew","488768","94.2","93.8",,"85.9","85.7","80.6",,,,
"deGrom, Jacob","594798","94","93.8",,"89.3","85.9","81",,,,
"Perdomo, Luis","606131","94.8","94.4","97.1",,"89.5","83.6",,,,
"De La Rosa, Jorge","407822","90.8","90.5","87","86.9","82.5","73.9","82.2",,,
"Nova, Iván","467100","93.4","93.2",,"87.3","86.9","80.6",,,,
"Walker, Taijuan","592836","94.6","95.3","88.4",,,"76.5","88.9",,,
"Wacha, Michael","608379","93.9",,"90.7",,"85.5","74.8",,,,
"Duffey, Tyler","608648","91","90.9","91.2",,"82.9","80.9",,,,
"Conley, Adam","543045","91.7",,,"85.6","83.5",,,,,
"Carrasco, Carlos","471911","94.5","94.5",,"87.6","89.5","83.9",,,,
"Buchholz, Clay","453329","92.8","92.6","89.2",,"81.4","78.5","88.1",,,
"Velasquez, Vince","592826","94.6","93",,"85.2","88","80.5",,,,
"Manaea, Sean","640455","92.9",,,"80.5","85.1",,,,,
"Nicasio, Juan","504379","94.3","93.7",,"87","87.3",,,,,
"Matz, Steven","571927","92","94.3",,"87.9","83.8","78.8",,,,
"Friedrich, Christian","543184","89.9","90",,"82.8","84.8","76.9",,,,
"Peralta, Wily","503449","95.3","95.5",,"85.1","85.6",,,,,
"Foltynewicz, Mike","592314","95.9","95.7",,"85.3","85.8","78.1",,,,
"Gallardo, Yovani","451596","90.8","90.5",,"87.1","85","78",,,,
"González, Miguel","456068","91.9","92.3",,"87.3","84.8","77.7",,,,
"Locke, Jeff","502046","92.2","92.1",,,"83.1","79.3",,,,
"Kershaw, Clayton","477132","93.6","95.2",,"88.4","87.8","73.5",,,,
"Griffin, A.J.","456167","88.2",,,"83.7","81.4","67.1",,,,
"Eovaldi, Nathan","543135","97.8","96.8","93.4","86.5","86.6","75.5","89.5",,,
"Gee, Dillon","518716","90","90.2","86",,"84.3","77.5",,,,
"Pelfrey, Mike","460059","92.9","93.4",,"84.3",,"73.6","81.7",,,
"Peavy, Jake","408241","89.5","89.3","85.7","81.8","83.4","79.3",,,,
"Niese, Jonathon","477003","89.9","89.4","86.6","83","83.2","74.9",,,,
"Norris, Bud","502032","94.1","94","89","85.4","85.1",,,,,
"Andriese, Matt","542882","92.4","90.6","87.7","85.6","86.3","80.2",,,,
