"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Burnes, Corbin","669203","96.4","96.2","95","88.1","90.3","81.6",,,"82.6",
"Cole, Gerrit","543037","97.8","98.6","92","88.7","89.7","83",,,,
"Alcantara, Sandy","645261","98","97.8","90","87","91.8",,,,,
"Mikolas, Miles","571945","93.5","92.9",,"87.7","82.6","76",,,,
"Wainwright, Adam","425794","88","88.6","84.3","75.3","82.2","72.8",,,,
"Cease, Dylan","656302","96.8","96.5",,"87.4","77.9","81.1",,,,
"Pivetta, Nick","601713","93.4",,"86.2","83","91.9","77.2","87",,,
"Kelly, Merrill","518876","92.6","92.5","90.8","85","88.6","82.2",,,,
"Ray, Robbie","592662","93.4","93.3",,"87.2","86.9","79.7",,,,
"Nola, Aaron","605400","92.8","92.1","86.8",,"85.9","78.6",,,,
"Valdez, Framber","664285","94.1","93.9",,"83","88.8","79.2",,,,
"Gilbert, Logan","669302","96.1","94.7",,"86.9","86.2","80.8",,,,
"Webb, Logan","657277","92.3","91.8",,,"86.4",,,,"82.5",
"Lyles, Jordan","543475","91.8","90.7","84.9",,"86.3","79.1",,,"80",
"Rodón, Carlos","607074","95.5","95.1",,"85.4","84.6","79.8",,,,
"Pérez, Martín","527048","92.9","92.6","89.9","84.5","84.4","78.8",,,,
"Darvish, Yu","506433","95","94.7","90.7","86",,"76.1","89.2",,"82.7",
"Manoah, Alek","666201","93.9","93.2",,"81.5","86.5",,,,,
"Gallen, Zac","668678","94.1","94.7","89.9","86.7","86.2","81.6",,,,
"Quantrill, Cal","615698","93.9","93.5","88.5",,"85.3","82.7",,,,
"López, Pablo","641154","93.5","93.4","88.7",,"87.5","80.9",,,"89.7",
"Morton, Charlie","450203","94.9","94.7","88.4",,"87.2","81.3",,,,
"Bassitt, Chris","605135","93.2","92.8","89","82.7","85.4","71.6",,,"75.2",
