"last_name, first_name","pitcher","ff_avg_speed","si_avg_speed","fc_avg_speed","sl_avg_speed","ch_avg_speed","cu_avg_speed","fs_avg_speed","kn_avg_speed","st_avg_speed","sv_avg_speed"
"Sabathia, CC","282332","94.9","94.6",,"81.3","86.8","77",,,,
"Burnett, A.J.","150359","95.4","94.8",,,"87.3","82",,,,
"Meche, Gil","219194","93.3","92.7",,"88.8","85.2","79.2",,,,
"Santana, Johan","276371","91.7","91.7",,"83.2","80.6",,,,,
"Lincecum, Tim","453311","94.5","95.2",,"84.4","84.2","79.8",,,,
"Verlander, Justin","434378","94.3","94.5",,"80.6","84.1","81.4",,,,
"Cain, Matt","430912","92.7","92",,"85.8","86.8","76.1",,,,
"Halladay, Roy","136880",,"93.7","91.1",,"85","78.2",,,,
"Arroyo, Bronson","276520","88","88.9","83.6","75.9","80.1","70.5",,,,
"Hamels, Cole","430935","90.4",,"89.7",,"79.8","75.2",,,,
"Volquez, Edinson","450172","94","94.5",,,"82.9","79.3",,,,
"Pelfrey, Mike","460059","93.8","93.4",,"85.1",,"74.7","84.4",,,
"Billingsley, Chad","451532","92.6","91.4","88","78.9","84.5","66.9",,,,
"Santana, Ervin","429722","95.5","95",,"84.6","86.7",,,,,
"Jiménez, Ubaldo","434622","96.4","95.6","96.7","86.4","86.8","76","90.2",,,
"Lee, Cliff","424324","91","91.4","85.8","79.5","83.2","75.2",,,,
"Dempster, Ryan","133225","91.9","91.9","87.7","85.2",,,"83.2",,,
"Buehrle, Mark","279824","87","86.4","82.8",,"79.3","71.5",,,,
"Webb, Brandon","425630","88.1","88.8","84.9",,"78.1","73.8",,,,
"Pettitte, Andy","120485","89.5","89.4","89","83.4","79.7","74",,,,
"Floyd, Gavin","425856","92.1","91.8","86",,"83.7","79.8",,,,
"Greinke, Zack","425844","94","93.9",,"85.8","82.8","74.4",,,,
"Pérez, Oliver","424144","91.8","89",,"79.2","80.5","64.8",,,,
"Lester, Jon","452657","93.1","91.8","89",,"83.8","76.6",,,,
"Nolasco, Ricky","445060","91.9","90.3","91.2","84.5",,"75.2","83.1",,,
"Looper, Braden","131702","90.5","91",,"85.6","82.8",,"82.4",,,
"Blanton, Joe","430599","89.9","89.5","85.7","82.3","83.1","74.7",,,,
"Moyer, Jamie","119469","80.5","82","78.9",,"74.6","69.4",,,,
"Haren, Dan","429717","91.6","91.6","87.6",,,"81.5","85.7",,,
"Bannister, Brian","446454","90.2","90.7","86.7","77.1","86.2","70.8",,,,
"Zito, Barry","217096","85.7","85.3","80.2","77.2","74.1","71.2",,,,
"Lohse, Kyle","346798","91.2","91.8",,"84.6","83","75.7",,,,
"Vazquez, Javier","134320","92.1","92.2",,"84.7","81","74.2",,,,
"Danks, John","433579","92.1","91.9","87.5",,"83.5","77.8",,,,
"Wolf, Randy","150116","90.1","89.6","88.4","80.9","79.2","68",,,,
"Mussina, Mike","119608","86.4","87.2","82","76.7","69.8","69",,,,
"Hernández, Félix","433587","96.1","95.3","95.8","87.9","88.3","82.6",,,,
"Oswalt, Roy","400061","93.5","92.6","84.9","77.9","83.5","69.4",,,,
"Lilly, Ted","150404","88.3","87.4",,"83.5","79.2","70.6",,,,
"Smith, Greg","460105","88.1","88",,"82.3","79.9","74.9",,,,
"Garland, Jon","279782","91.4","91.1",,"83.6","81.3","77",,,,
"Jurrjens, Jair","457453","92.3","92.9","91.2","81","84.6",,,,,
"Redding, Tim","400062","91.6","90.9",,"85.2","83.4","78.3",,,,
"Wellemeyer, Todd","425487","93.1","93",,"85.8","85.5","78.5",,,,
"Shields, James","448306","91","91.4","87.9",,"82.6","77.5",,,,
"Cueto, Johnny","456501","94.1","94","90.8","86.1","84.7","80.3",,,,
"Lowe, Derek","117955",,"90.3","85.3","83.2","85.2",,,,,
"Zambrano, Carlos","407296","91.3","92.1","90.7","82.8","83.4","67.9","84.9",,,
"Cook, Aaron","346871","91.8","91.8",,"84.5",,"80.4",,,,
"Olsen, Scott","435179","88.7","89.3",,"80.9","84.6",,,,,
"Jackson, Edwin","429719","94.9","93.8",,"87.5","86.8","79.7",,,,
"Sheets, Ben","282656","93.6","92.5",,,"86.3","80.9",,,,
"Myers, Brett","408206","90.6","90","88.2","83.2","82.5","77.4",,,,
"Harang, Aaron","421685","89.9","89.7",,"81.6","81.6","74.9",,,,
"Guthrie, Jeremy","425386","94.2","94.2","92.2","85","85.8","74.4",,,,
"Weaver, Jered","450308","90.8","90.6",,"79.9","81.6","72.6",,,,
"Maholm, Paul","430904","90.7","89.9","83.2","80.5","84.4","74.1",,,,
"Saunders, Joe","434578","92.4","91.8",,"84.3","82.7","77.7",,,,
"Duke, Zach","435043","89.6","89.6",,"81.3","83","74.1",,,,
"Peavy, Jake","408241","93.2","93.5","86.7","81.6","84.8","76.1",,,,
"Cabrera, Daniel","425555","93.4","94.2",,"82","83.1",,,,,
"Snell, Ian","430636","93.4","93",,"84.3","85.7",,,,,
"Blackburn, Nick","448147","92.8","91.7","87.9",,"82.1","77.1",,,,
"Lannan, John","458709","88.4","88.3",,"81.1","82","74.9",,,,
"Sonnanstine, Andy","458567","87.2",,"86.9","79.2",,"74.6",,,,
"Matsuzaka, Daisuke","493137","92.6","92","89.2","82.1",,"76.4","82.9",,,
"Hernandez, Livan","115817","84.3","84.6",,"78.1","75.1","64.8",,,,
"Kazmir, Scott","431148","92.4","92.4",,"82.6","79.2",,,,,
"Sánchez, Jonathan","456043","91.6","91.3",,"82.5","84.5",,,,,
"Garza, Matt","490063","94.1","94.1",,"86.2","85.8","76.5",,,,
"Rogers, Kenny","121386","87.9","82.8","87.1","80.1","78.2","73.7",,,,
"Galarraga, Armando","451482",,"90.5",,"85.1","84.2",,,,,
"Baker, Scott","435044","91.3","91.3",,"80.9","82.6",,,,,
"Padilla, Vicente","218894","93","92.9",,"82.3","85.9","71.8","84",,,
"Kuroda, Hiroki","493133","92.7","93",,"85",,"81","87.2",,,
"Bush, Dave","433657","87.7","88.6","82.7",,"82.3","70.3",,,,
